symbol,sample,status,reward_score,return_pct,sharpe_ratio,avg_annual_return_pct,max_drawdown_pct,strategy_code,model
AAPL,1,no_trades,-1.0,0.0,,0.0,0.0,"class Strategy(bt.Strategy):
    params = (
        ('sma_short', 20),
        ('sma_long', 50),
    )

    def __init__(self):
        self.sma_short = bt.indicators.MovingAverageSimple(self.data.close, period=self.params.sma_short)
        self.sma_long = bt.indicators.MovingAverageSimple(self.data.close, period=self.params.sma_long)
        self.order = None

    def next(self):
        if self.order:
            return

        if not self.position:
            if self.sma_short > self.sma_long:
                self.order = self.order_target_percent(target=1.0)
        else:
            if self.sma_short < self.sma_long:
                self.order = self.close()",Qwen2.5-32B LoRA v1-500
AAPL,2,no_trades,-1.0,0.0,,0.0,0.0,"class Strategy(bt.Strategy):
    def __init__(self):
        self.sma_short = bt.indicators.SMA(self.data, period=20)
        self.sma_long = bt.indicators.SMA(self.data, period=50)
        self.order = None

    def next(self):
        if self.order:
            return

        if not self.position:
            if self.sma_short > self.sma_long:
                self.order = self.order_target_percent(target=1.0)
        else:
            if self.sma_short < self.sma_long:
                self.order = self.close()",Qwen2.5-32B LoRA v1-500
AAPL,3,profitable,14.059085182575743,27.762200000000004,0.8550615053255031,14.059085182575743,19.19627859782393,"class Strategy(bt.Strategy):
    params = (
        ('fast_period', 10),
        ('slow_period', 30),
    )

    def __init__(self):
        self.data_close = self.datas[0].close
        self.fast_sma = bt.indicators.SimpleMovingAverage(self.data_close, period=self.params.fast_period)
        self.slow_sma = bt.indicators.SimpleMovingAverage(self.data_close, period=self.params.slow_period)

    def next(self):
        if self.fast_sma > self.slow_sma:
            self.order_target_percent(target=1.0)
        elif self.fast_sma < self.slow_sma:
            self.close()",Qwen2.5-32B LoRA v1-500
AAPL,4,no_trades,-1.0,0.0,,0.0,0.0,"class Strategy(bt.Strategy):
    def __init__(self):
        self.sma = bt.indicators.SimpleMovingAverage(self.data.close, period=20)
        self.rsi = bt.indicators.RSI(self.data.close, period=14)

    def next(self):
        if not self.position:
            if self.rsi < 30 and self.data.close > self.sma:
                self.order_target_percent(target=1.0)
        else:
            if self.rsi > 70:
                self.close()",Qwen2.5-32B LoRA v1-500
AAPL,5,profitable,1.0,0.23689999999998435,-1.7278996558230908,0.11967621809814144,0.48437476573394317,"class Strategy(bt.Strategy):
    params = (
        ('short_window', 20),
        ('long_window', 50),
    )

    def __init__(self):
        self.dataclose = self.datas[0].close
        self.sma_short = bt.indicators.SimpleMovingAverage(self.datas[0], period=self.params.short_window)
        self.sma_long = bt.indicators.SimpleMovingAverage(self.datas[0], period=self.params.long_window)
        self.order = None

    def next(self):
        if self.order:
            return

        if not self.position:
            if self.sma_short[0] > self.sma_long[0]:
                self.order = self.buy()
        else:
            if self.sma_short[0] < self.sma_long[0]:
                self.order = self.close()",Qwen2.5-32B LoRA v1-500
AMZN,1,profitable,20.7512099103289,35.519829999999985,0.6157622986867446,20.7512099103289,30.757862006533657,"class Strategy(bt.Strategy):
    params = (('fast_period', 10), ('slow_period', 30),)

    def __init__(self):
        self.fast_mavg = bt.indicators.MovingAverageSimple(self.data.close, period=self.params.fast_period)
        self.slow_mavg = bt.indicators.MovingAverageSimple(self.data.close, period=self.params.slow_period)

    def next(self):
        if self.fast_mavg > self.slow_mavg:
            self.order_target_percent(target=1.0)
        else:
            self.sell()",Qwen2.5-32B LoRA v1-500
AMZN,2,profitable,11.606438537843555,8.66484000000003,0.2660342305324032,11.606438537843555,32.80791753781379,"class Strategy(bt.Strategy):
    def __init__(self):
        self.sma_short = bt.indicators.SimpleMovingAverage(self.data.close, period=10)
        self.sma_long = bt.indicators.SimpleMovingAverage(self.data.close, period=50)

    def next(self):
        if self.sma_short > self.sma_long:
            self.order_target_percent(target=1)
        else:
            self.sell()",Qwen2.5-32B LoRA v1-500
AMZN,3,profitable,3.668579336266098,4.268849999999991,0.14911072281406806,3.668579336266098,25.690567541586965,"class Strategy(bt.Strategy):
    def __init__(self):
        self.sma_short = bt.indicators.SimpleMovingAverage(self.data.close, period=20)
        self.sma_long = bt.indicators.SimpleMovingAverage(self.data.close, period=50)

    def next(self):
        if self.sma_short > self.sma_long:
            self.order_target_percent(target=1.0)
        else:
            self.close()",Qwen2.5-32B LoRA v1-500
AMZN,4,profitable,3.6948378471055197,4.390199999999989,0.1521756022576158,3.6948378471055197,25.47288938521914,"class Strategy(bt.Strategy):
    def __init__(self):
        self.sma_short = bt.indicators.SimpleMovingAverage(self.data, period=20)
        self.sma_long = bt.indicators.SimpleMovingAverage(self.data, period=50)

    def next(self):
        if not self.position:
            if self.sma_short > self.sma_long:
                self.order_target_percent(target=1.0)
        else:
            if self.sma_short < self.sma_long:
                self.close()",Qwen2.5-32B LoRA v1-500
AMZN,5,no_trades,-1.0,0.0,,0.0,0.0,"class Strategy(bt.Strategy):
    params = (
        ('short_window', 20),
        ('long_window', 50),
    )

    def __init__(self):
        self.dataclose = self.datas[0].close
        self.short_sma = bt.indicators.SimpleMovingAverage(self.dataclose, period=self.params.short_window)
        self.long_sma = bt.indicators.SimpleMovingAverage(self.dataclose, period=self.params.long_window)
        self.order = None

    def next(self):
        if self.order:
            return

        if not self.position:
            if self.short_sma > self.long_sma:
                self.order = self.order_target_percent(target=1.0)
        else:
            if self.short_sma < self.long_sma:
                self.order = self.close()",Qwen2.5-32B LoRA v1-500
MSFT,1,profitable,20.311232098474786,31.48249999999999,0.5302117989957833,20.311232098474786,26.287686589179305,"class Strategy(bt.Strategy):
    params = (('short_window', 20), ('long_window', 50),)

    def __init__(self):
        self.dataclose = self.datas[0].close
        self.short_moving_average = bt.indicators.MovingAverageSimple(self.dataclose, period=self.params.short_window)
        self.long_moving_average = bt.indicators.MovingAverageSimple(self.dataclose, period=self.params.long_window)
        self.order = None

    def next(self):
        if self.order:
            return

        if not self.position:
            if self.short_moving_average[0] > self.long_moving_average[0]:
                self.order = self.order_target_percent(target=1.0)
        else:
            if self.short_moving_average[0] < self.long_moving_average[0]:
                self.order = self.close()",Qwen2.5-32B LoRA v1-500
MSFT,2,profitable,13.109394423151299,25.573999999999984,0.7876953930222302,13.109394423151299,16.88339555493526,"class Strategy(bt.Strategy):
    def __init__(self):
        self.sma短 = bt.indicators.SimpleMovingAverage(self.data, period=10)
        self.sma长 = bt.indicators.SimpleMovingAverage(self.data, period=30)

    def next(self):
        if self.sma短 > self.sma长:
            self.order_target_percent(target=1.0)
        elif self.sma短 < self.sma长:
            self.close()",Qwen2.5-32B LoRA v1-500
MSFT,3,profitable,18.71275,37.4255,0.9465605001937182,18.71275,12.923736908304274,"class Strategy(bt.Strategy):
    def __init__(self):
        self.sma = bt.indicators.SimpleMovingAverage(self.data, period=50)
        self.sma_long = bt.indicators.SimpleMovingAverage(self.data, period=200)
        self.order = None

    def next(self):
        if self.order:
            return

        if not self.position:
            if self.sma > self.sma_long:
                self.order = self.order_target_percent(target=1.0)
        else:
            if self.sma < self.sma_long:
                self.order = self.close()",Qwen2.5-32B LoRA v1-500
MSFT,4,exception,-2.0,,,,,"class Strategy(bt.Strategy):
    def __init__(self):
        self.sma = bt.indicators.SimpleMovingAverage(self.data.close, period=50)
        self.sma_long = bt.indicators.SimpleMovingAverage(self.data.close, period=200)

    def next(self):
        if self.order:
            return
        if not self.position:
            if self.sma > self.sma_long:
                self.order = self.order_target_percent(target=1.0)
        else:
            if self.sma < self.sma_long:
                self.order = self.sell(size=self.position.size)",Qwen2.5-32B LoRA v1-500
