sample,symbol,status,return_pct,sharpe_ratio,avg_annual_return_pct,max_drawdown_pct
1,VZ,ok,4.533,-0.372701,0.502662,4.119715
2,VZ,ok,0.073687,-4.797612,0.008398,0.779159
3,CAT,exception,,,,
4,KO,ok,-7.3047,-0.22675,-0.587205,27.362982
5,AMGN,ok,1.578993,-4.868279,0.174368,0.590464
6,WMT,ok,-0.629414,-0.176277,0.070336,21.817199
7,KO,no_trades,0.0,,0.0,0.0
8,V,ok,20.4224,0.285464,2.164616,9.273741
9,MMM,ok,0.7198,-0.961155,0.084254,6.030566
10,AAPL,no_trades,0.0,,0.0,0.0
11,MCD,ok,9.127631,-0.018538,0.980631,2.017925
12,CSCO,ok,0.96331,-0.93493,0.111112,4.046789
13,V,ok,-17.873258,-0.311101,-1.7442,39.390228
14,AMGN,exception,,,,
15,AMGN,exception,,,,
16,CVX,ok,0.5236,-6.183465,0.058159,0.430499
17,JNJ,ok,-0.1247,-7.945917,-0.013782,0.595019
18,MSFT,exception,,,,
19,TRV,ok,80.3879,0.60767,7.282612,21.450204
20,MMM,ok,1.52169,-1.998859,0.168807,0.998669
