sample,symbol,status,return_pct,sharpe_ratio,avg_annual_return_pct,max_drawdown_pct
1,MMM,ok,0.4112,-5.592031,0.045751,0.497325
2,GS,ok,2.459,-0.977148,0.273028,1.2719
3,MRK,ok,0.0933,-9.339356,0.010418,0.233833
4,DIS,ok,0.3462,-7.763645,0.038484,0.562449
5,TRV,ok,0.5485,-10.432467,0.060837,0.461773
6,JNJ,ok,-12.772884,-0.404201,-1.335246,23.459105
7,NVDA,ok,-0.01003,-344.856378,-0.001114,0.017799
8,MMM,ok,-0.191,-4.850617,-0.021019,1.17369
9,AAPL,ok,1.4111,-3.054847,0.156195,0.474691
10,JPM,ok,0.0222,-4.763325,0.002686,0.785468
11,NVDA,ok,1.36319,-3.189569,0.150908,0.361624
12,JPM,ok,0.0222,-4.763325,0.002686,0.785468
13,WMT,ok,0.4224,-10.258978,0.046889,0.087968
14,KO,ok,0.0526,-29.038421,0.005849,0.135392
15,DOW,ok,-0.0217,-32.194666,-0.002406,0.127745
16,AMGN,ok,0.0777,-4.937528,0.008832,0.9732
17,GS,ok,1.065,-1.516725,0.119457,2.022972
18,JNJ,ok,0.0352,-11.515488,0.003948,0.427311
19,AMGN,ok,1.1676,-4.45763,0.129256,0.663856
20,DIS,exception,,,,
