sample,symbol,status,return_pct,sharpe_ratio,avg_annual_return_pct,max_drawdown_pct
1,AXP,exception,,,,
2,DOW,exception,,,,
3,VZ,exception,,,,
4,MMM,exception,,,,
5,MRK,exception,,,,
6,CAT,exception,,,,
7,JPM,invalid_code,,,,
8,V,exception,,,,
9,WMT,invalid_code,,,,
10,TRV,invalid_code,,,,
11,UNH,invalid_code,,,,
12,PG,exception,,,,
13,HON,exception,,,,
14,UNH,exception,,,,
15,DOW,exception,,,,
16,WMT,invalid_code,,,,
17,IBM,exception,,,,
18,V,exception,,,,
19,V,exception,,,,
20,TRV,invalid_code,,,,
