sample,symbol,status,return_pct,sharpe_ratio,avg_annual_return_pct,max_drawdown_pct
1,MSFT,exception,,,,
2,AMGN,exception,,,,
3,IBM,exception,,,,
4,VZ,invalid_code,,,,
5,GS,exception,,,,
6,MCD,no_trades,0.0,,0.0,0.0
7,HON,exception,,,,
8,DIS,exception,,,,
9,MMM,ok,6.0139,-0.146892,0.674971,7.536688
10,TRV,exception,,,,
11,V,exception,,,,
12,V,invalid_code,,,,
13,IBM,exception,,,,
14,NVDA,exception,,,,
15,CSCO,exception,,,,
16,IBM,exception,,,,
17,AXP,exception,,,,
18,GS,exception,,,,
19,WBA,exception,,,,
20,IBM,invalid_code,,,,
